iter	Passed	Remaining
0	128	127942
1	130	65115
2	132	43957
3	133	33355
4	135	26938
5	138	23021
6	140	19917
7	141	17607
8	143	15796
9	144	14351
10	146	13151
11	147	12160
12	154	11720
13	156	11029
14	157	10371
15	159	9786
16	160	9265
17	165	9003
18	166	8601
19	168	8244
20	170	7960
21	173	7714
22	179	7642
23	181	7377
24	183	7159
25	185	6935
26	186	6717
27	187	6518
28	191	6416
29	193	6244
30	195	6098
31	196	5953
32	198	5811
33	199	5680
34	204	5632
35	205	5513
36	207	5411
37	209	5306
38	211	5203
39	212	5096
40	217	5088
41	219	5000
42	221	4929
43	222	4843
44	224	4759
45	225	4684
46	230	4667
47	231	4594
48	233	4533
49	236	4490
50	237	4420
51	239	4362
52	243	4351
53	245	4300
54	247	4253
55	249	4200
56	250	4146
57	252	4098
58	257	4107
59	259	4059
60	260	4014
61	263	3981
62	264	3937
63	271	3971
64	273	3929
65	274	3888
66	275	3842
67	281	3855
68	286	3863
69	287	3825
70	290	3796
71	291	3758
72	294	3744
73	300	3757
74	302	3725
75	303	3692
76	305	3657
77	306	3624
78	309	3603
79	318	3657
80	319	3623
81	322	3605
82	322	3568
83	324	3536
84	328	3533
85	329	3503
86	331	3480
87	333	3454
88	334	3425
89	335	3396
90	337	3371
91	342	3375
92	343	3353
93	345	3327
94	346	3301
95	348	3284
96	351	3269
97	357	3293
98	360	3276
99	361	3253
100	363	3234
101	369	3256
102	371	3235
103	373	3214
104	374	3193
105	375	3170
106	377	3151
107	378	3127
108	381	3116
109	384	3114
110	387	3100
111	388	3078
112	389	3056
113	390	3035
114	391	3012
115	392	2991
116	394	2974
117	395	2959
118	397	2940
119	398	2922
120	399	2902
121	400	2883
122	401	2863
123	402	2843
124	403	2824
125	404	2806
126	406	2796
127	408	2779
128	409	2761
129	410	2745
130	411	2727
131	412	2709
132	412	2691
133	413	2674
134	414	2657
135	415	2640
136	416	2624
137	417	2608
138	420	2602
139	421	2589
140	422	2575
141	423	2558
142	424	2543
143	425	2528
144	426	2513
145	427	2498
146	428	2484
147	428	2469
148	430	2456
149	431	2442
150	431	2428
151	434	2425
152	435	2413
153	436	2399
154	437	2386
155	438	2373
156	439	2360
157	440	2347
158	441	2335
159	442	2322
160	443	2310
161	444	2298
162	445	2286
163	447	2278
164	449	2273
165	450	2262
166	451	2250
167	452	2239
168	453	2227
169	453	2216
170	455	2206
171	457	2202
172	458	2193
173	463	2199
174	464	2191
175	465	2180
176	466	2171
177	467	2161
178	468	2151
179	469	2140
180	470	2130
181	471	2120
182	472	2111
183	473	2101
184	477	2102
185	478	2093
186	480	2087
187	481	2078
188	482	2070
189	483	2062
190	485	2057
191	489	2061
192	492	2059
193	495	2057
194	497	2052
195	498	2045
196	499	2037
197	501	2031
198	506	2037
199	507	2030
200	509	2024
201	510	2017
202	513	2015
203	514	2006
204	515	1999
205	516	1990
206	521	1998
207	523	1992
208	524	1984
209	525	1977
210	526	1970
211	528	1962
212	529	1954
213	529	1946
214	530	1938
215	536	1945
216	537	1939
217	538	1931
218	539	1925
219	541	1918
220	542	1910
221	543	1903
222	543	1895
223	545	1888
224	546	1881
225	550	1884
226	551	1878
227	552	1872
228	554	1865
229	555	1859
230	556	1852
231	557	1845
232	558	1839
233	559	1832
234	573	1867
235	579	1875
236	580	1870
237	582	1863
238	583	1857
239	584	1851
240	585	1844
241	586	1837
242	587	1830
243	588	1823
244	592	1825
245	593	1820
246	595	1814
247	596	1808
248	597	1801
249	598	1794
250	599	1787
251	600	1781
252	600	1774
253	602	1768
254	605	1770
255	607	1765
256	608	1760
257	610	1754
258	611	1748
259	612	1742
260	613	1735
261	613	1729
262	614	1723
263	616	1717
264	617	1711
265	620	1712
266	622	1708
267	623	1702
268	624	1697
269	625	1691
270	626	1685
271	627	1679
272	628	1673
273	630	1671
274	636	1678
275	638	1675
276	640	1672
277	642	1667
278	643	1663
279	645	1659
280	649	1661
281	651	1658
282	653	1654
283	654	1649
284	655	1645
285	657	1642
286	659	1638
287	665	1644
288	667	1641
289	669	1638
290	672	1638
291	674	1635
292	678	1636
293	681	1635
294	683	1632
295	685	1629
296	687	1626
297	690	1627
298	693	1625
299	695	1622
300	697	1618
301	699	1615
302	701	1613
303	706	1617
304	708	1613
305	711	1612
306	713	1610
307	715	1606
308	716	1602
309	719	1601
310	722	1599
311	723	1596
312	725	1592
313	727	1588
314	728	1584
315	729	1580
316	731	1575
317	735	1577
318	737	1574
319	739	1570
320	740	1567
321	742	1562
322	743	1558
323	745	1554
324	748	1555
325	751	1552
326	752	1549
327	754	1546
328	756	1542
329	757	1538
330	759	1534
331	763	1537
332	765	1534
333	767	1530
334	769	1527
335	771	1523
336	772	1520
337	774	1516
338	779	1519
339	780	1515
340	782	1512
341	784	1508
342	785	1504
343	786	1500
344	788	1497
345	792	1498
346	794	1495
347	796	1492
348	798	1488
349	799	1484
350	800	1480
351	802	1477
352	810	1485
353	811	1481
354	813	1477
355	814	1473
356	815	1468
357	816	1463
358	817	1459
359	820	1459
360	822	1456
361	824	1452
362	825	1448
363	826	1444
364	827	1439
365	828	1435
366	829	1430
367	830	1426
368	831	1421
369	835	1423
370	837	1419
371	838	1415
372	839	1411
373	841	1407
374	842	1404
375	843	1400
376	845	1396
377	848	1395
378	850	1393
379	852	1390
380	853	1387
381	855	1383
382	856	1379
383	860	1380
384	862	1377
385	863	1373
386	864	1369
387	865	1365
388	866	1361
389	867	1356
390	868	1352
391	869	1348
392	873	1349
393	875	1346
394	876	1342
395	877	1338
396	878	1334
397	879	1330
398	880	1325
399	881	1321
400	882	1317
401	883	1313
402	887	1315
403	889	1312
404	890	1308
405	891	1304
406	892	1300
407	893	1296
408	894	1292
409	895	1288
410	896	1284
411	897	1280
412	901	1282
413	903	1278
414	904	1275
415	905	1271
416	906	1267
417	907	1263
418	908	1260
419	909	1256
420	910	1252
421	911	1248
422	916	1250
423	917	1246
424	919	1243
425	920	1239
426	921	1236
427	922	1232
428	923	1229
429	924	1225
430	925	1222
431	931	1224
432	932	1221
433	934	1218
434	936	1216
435	938	1213
436	940	1211
437	943	1210
438	944	1207
439	946	1204
440	947	1201
441	949	1198
442	951	1195
443	955	1196
444	956	1193
445	958	1190
446	960	1187
447	961	1184
448	962	1181
449	964	1178
450	965	1175
451	968	1174
452	970	1172
453	973	1170
454	974	1167
455	975	1164
456	978	1162
457	984	1164
458	986	1162
459	990	1162
460	992	1160
461	1000	1165
462	1004	1164
463	1006	1163
464	1010	1162
465	1018	1167
466	1023	1168
467	1026	1166
468	1032	1169
469	1034	1166
470	1036	1164
471	1038	1161
472	1045	1165
473	1047	1162
474	1050	1160
475	1052	1159
476	1058	1161
477	1060	1157
478	1061	1154
479	1063	1152
480	1064	1149
481	1066	1145
482	1067	1142
483	1072	1143
484	1074	1140
485	1075	1137
486	1077	1134
487	1078	1131
488	1079	1127
489	1081	1125
490	1082	1122
491	1084	1120
492	1086	1117
493	1088	1114
494	1089	1111
495	1090	1108
496	1092	1105
497	1097	1106
498	1100	1104
499	1102	1102
500	1103	1098
501	1104	1095
502	1105	1092
503	1107	1089
504	1112	1090
505	1114	1087
506	1116	1085
507	1117	1082
508	1119	1080
509	1121	1077
510	1122	1074
511	1127	1074
512	1129	1072
513	1132	1070
514	1133	1067
515	1134	1064
516	1135	1061
517	1137	1058
518	1140	1056
519	1143	1055
520	1145	1053
521	1147	1051
522	1149	1048
523	1154	1048
524	1156	1046
525	1158	1044
526	1160	1041
527	1161	1038
528	1162	1035
529	1164	1032
530	1171	1035
531	1174	1032
532	1176	1030
533	1177	1027
534	1179	1024
535	1185	1026
536	1188	1024
537	1191	1022
538	1193	1020
539	1194	1017
540	1201	1019
541	1204	1017
542	1205	1014
543	1207	1012
544	1209	1009
545	1212	1008
546	1213	1005
547	1216	1003
548	1218	1000
549	1219	997
550	1230	1002
551	1232	1000
552	1234	997
553	1239	997
554	1241	995
555	1243	993
556	1245	990
557	1246	987
558	1247	984
559	1249	981
560	1254	981
561	1257	979
562	1259	977
563	1261	975
564	1263	972
565	1268	972
566	1270	970
567	1274	969
568	1275	966
569	1277	963
570	1281	962
571	1285	961
572	1287	959
573	1296	962
574	1299	960
575	1301	958
576	1303	955
577	1305	953
578	1306	950
579	1311	949
580	1316	949
581	1318	947
582	1321	945
583	1324	943
584	1327	941
585	1329	939
586	1331	936
587	1332	934
588	1336	932
589	1338	930
590	1340	927
591	1341	924
592	1343	921
593	1344	919
594	1346	916
595	1353	917
596	1355	914
597	1356	912
598	1358	909
599	1359	906
600	1364	906
601	1367	904
602	1370	902
603	1372	899
604	1378	899
605	1381	898
606	1385	896
607	1387	894
608	1390	893
609	1396	892
610	1398	890
611	1401	888
612	1409	889
613	1411	887
614	1413	885
615	1415	882
616	1417	880
617	1420	878
618	1424	876
619	1426	874
620	1438	877
621	1442	876
622	1449	877
623	1452	875
624	1454	872
625	1457	870
626	1461	869
627	1463	867
628	1468	866
629	1471	864
630	1476	863
631	1478	861
632	1483	860
633	1486	858
634	1492	858
635	1495	855
636	1498	853
637	1500	851
638	1503	849
639	1506	847
640	1508	844
641	1510	842
642	1513	840
643	1515	837
644	1523	838
645	1526	836
646	1528	833
647	1530	831
648	1539	832
649	1558	838
650	1560	836
651	1562	833
652	1564	831
653	1566	828
654	1568	826
655	1574	825
656	1576	823
657	1578	820
658	1581	818
659	1584	816
660	1590	815
661	1592	813
662	1594	810
663	1597	808
664	1600	806
665	1603	804
666	1606	801
667	1607	799
668	1609	796
669	1611	793
670	1612	790
671	1617	789
672	1619	786
673	1620	783
674	1622	781
675	1624	778
676	1627	776
677	1632	775
678	1635	772
679	1637	770
680	1638	767
681	1640	765
682	1648	764
683	1650	762
684	1651	759
685	1653	756
686	1654	753
687	1656	751
688	1661	750
689	1667	748
690	1669	746
691	1676	746
692	1678	743
693	1681	741
694	1683	738
695	1685	736
696	1688	733
697	1690	731
698	1692	728
699	1694	726
700	1696	723
701	1698	721
702	1705	720
703	1711	719
704	1715	717
705	1726	718
706	1728	716
707	1730	713
708	1731	710
709	1742	711
710	1744	709
711	1753	709
712	1755	706
713	1757	703
714	1759	701
715	1761	698
716	1764	696
717	1767	694
718	1770	692
719	1777	691
720	1780	688
721	1782	686
722	1785	683
723	1794	684
724	1797	681
725	1799	679
726	1801	676
727	1808	675
728	1810	673
729	1812	670
730	1813	667
731	1814	664
732	1816	661
733	1822	660
734	1826	658
735	1828	655
736	1829	652
737	1830	649
738	1831	646
739	1833	644
740	1835	641
741	1837	638
742	1842	637
743	1844	634
744	1845	631
745	1850	630
746	1854	627
747	1855	625
748	1857	622
749	1858	619
750	1860	616
751	1865	615
752	1867	612
753	1869	609
754	1871	607
755	1873	604
756	1874	601
757	1881	600
758	1883	597
759	1884	595
760	1886	592
761	1887	589
762	1888	586
763	1895	585
764	1896	582
765	1897	579
766	1898	576
767	1900	574
